Season,Team,fast_break_ratio,league
2020-21,Atlanta Hawks,11.7%,NBA
2020-21,Oklahoma City Thunder,11.7%,NBA
2019-20,新潟アルビレックスBB,11.6%,B.LEAGUE
2020-21,レバンガ北海道,11.6%,B.LEAGUE
2017-18,島根スサノオマジック,11.5%,B.LEAGUE
2018-19,富山グラウジーズ,11.5%,B.LEAGUE
2017-18,Charlotte Hornets,11.5%,NBA
2019-20,Oklahoma City Thunder,11.5%,NBA
2017-18,アルバルク東京,11.5%,B.LEAGUE
2020-21,川崎ブレイブサンダース,11.4%,B.LEAGUE
2018-19,川崎ブレイブサンダース,11.4%,B.LEAGUE
2020-21,京都ハンナリーズ,11.4%,B.LEAGUE
2019-20,京都ハンナリーズ,11.2%,B.LEAGUE
2020-21,New York Knicks,11.1%,NBA
2020-21,富山グラウジーズ,11.0%,B.LEAGUE
2017-18,New York Knicks,10.9%,NBA
2017-18,西宮ストークス,10.9%,B.LEAGUE
2017-18,横浜ビー・コルセアーズ,10.8%,B.LEAGUE
2017-18,富山グラウジーズ,10.8%,B.LEAGUE
2019-20,琉球ゴールデンキングス,10.8%,B.LEAGUE
2018-19,レバンガ北海道,10.8%,B.LEAGUE
2016-17,Utah Jazz,10.8%,NBA
2016-17,Dallas Mavericks,10.5%,NBA
2019-20,滋賀レイクスターズ,10.5%,B.LEAGUE
2019-20,シーホース三河,10.4%,B.LEAGUE
2018-19,ライジングゼファー福岡,10.3%,B.LEAGUE
2017-18,サンロッカーズ渋谷,10.3%,B.LEAGUE
2017-18,名古屋ダイヤモンドドルフィンズ,10.3%,B.LEAGUE
2017-18,Portland Trail Blazers,10.1%,NBA
2018-19,滋賀レイクスターズ,10.1%,B.LEAGUE
2020-21,滋賀レイクスターズ,10.0%,B.LEAGUE
2017-18,エヴェッサ大阪,9.9%,B.LEAGUE
2020-21,横浜ビー・コルセアーズ,9.7%,B.LEAGUE
2017-18,琉球ゴールデンキングス,9.5%,B.LEAGUE
2018-19,エヴェッサ大阪,9.4%,B.LEAGUE
2020-21,琉球ゴールデンキングス,9.4%,B.LEAGUE
2020-21,シーホース三河,9.3%,B.LEAGUE
2017-18,三遠ネオフェニックス,8.9%,B.LEAGUE
2020-21,アルバルク東京,8.8%,B.LEAGUE
2018-19,琉球ゴールデンキングス,8.7%,B.LEAGUE
2018-19,新潟アルビレックスBB,8.6%,B.LEAGUE
2017-18,シーホース三河,8.5%,B.LEAGUE
2017-18,川崎ブレイブサンダース,8.3%,B.LEAGUE
2017-18,新潟アルビレックスBB,8.3%,B.LEAGUE
2018-19,シーホース三河,8.2%,B.LEAGUE
2018-19,京都ハンナリーズ,7.8%,B.LEAGUE
2016-17,千葉ジェッツ,7.6%,B.LEAGUE
2020-21,信州ブレイブウォリアーズ,7.4%,B.LEAGUE
2016-17,レバンガ北海道,7.0%,B.LEAGUE
2017-18,京都ハンナリーズ,6.9%,B.LEAGUE
2016-17,川崎ブレイブサンダース,6.8%,B.LEAGUE
2016-17,富山グラウジーズ,6.8%,B.LEAGUE
2016-17,栃木ブレックス,6.7%,B.LEAGUE
2016-17,仙台89ERS,6.5%,B.LEAGUE
2016-17,京都ハンナリーズ,6.3%,B.LEAGUE
2016-17,アルバルク東京,6.1%,B.LEAGUE
2016-17,サンロッカーズ渋谷,6.0%,B.LEAGUE
2016-17,琉球ゴールデンキングス,5.6%,B.LEAGUE
2016-17,滋賀レイクスターズ,5.3%,B.LEAGUE
2016-17,三遠ネオフェニックス,5.3%,B.LEAGUE
2016-17,名古屋ダイヤモンドドルフィンズ,5.3%,B.LEAGUE
2016-17,秋田ノーザンハピネッツ,5.3%,B.LEAGUE
2016-17,エヴェッサ大阪,5.3%,B.LEAGUE
2016-17,新潟アルビレックスBB,5.1%,B.LEAGUE
2016-17,横浜ビー・コルセアーズ,3.9%,B.LEAGUE
2016-17,シーホース三河,3.8%,B.LEAGUE
